year,city,athletes,countries,events
1896,Athens,241,14,43
1900,Paris,997,24,95
1904,St Louis,651,12,95
1908,London,2008,22,110
1912,Stockholm,2407,28,102
1920,Antwerp,2622,29,156
1924,Paris,3088,44,126
1928,Amsterdam,2883,46,109
1932,Los Angeles,1334,37,117
1936,Berlin,3963,49,129
1948,London,4104,59,136
1952,Helsinki,4955,69,149
1956,Melbourne,3314,96,151
1960,Rome,5338,83,150
1964,Tokyo,5152,93,163
1968,Mexico City,5516,112,172
1972,Munich,7234,121,195
1976,Montreal,6084,92,198
1980,Moscow,5179,80,203
1984,Los Angeles,6829,140,221
1988,Seoul,8397,159,237
1992,Barcelona,9356,169,257
1996,Atlanta,10318,197,271
2000,Sydney,10651,199,300
2004,Athens,10625,201,301
2008,Beijing,10942,204,302
2012,London,10568,204,302
