year,place,name,country,time,speed,distance,city
1896,1,Thomas Burke,USA,12,8.33,80.25,Athens
1896,2,Fritz Hofmann,GER,12.2,8.2,78.93,Athens
1896,3,Francis Lane,USA,12.6,7.94,76.43,Athens
1896,3,Alajos Szokolyi,HUN,12.6,7.94,76.43,Athens
1900,1,Frank Jarvis,USA,11,9.09,87.55,Paris
1900,2,Walter Tewksbury,USA,11.1,9.01,86.76,Paris
1900,3,Stan Rowley,AUS,11.2,8.93,85.98,Paris
1904,1,Archie Hahn,USA,11,9.09,87.55,St Louis
1904,2,Nate Cartmell,USA,11.2,8.93,85.98,St Louis
1904,3,William Hogenson,USA,11.2,8.93,85.98,St Louis
1908,1,Reggie Walker,RSA,10.8,9.26,89.17,London
1908,2,James Rector,USA,11,9.09,87.55,London
1908,3,Robert Kerr,CAN,11,9.09,87.55,London
1912,1,Ralph Craig,USA,10.8,9.26,89.17,Stockholm
1912,2,Alvah Meyer,USA,10.9,9.17,88.35,Stockholm
1912,3,Donald Lippincott,USA,10.9,9.17,88.35,Stockholm
1920,1,Charley Paddock,USA,10.6,9.43,90.85,Antwerp
1920,2,Morris Kirksey,USA,10.8,9.26,89.17,Antwerp
1920,3,Harry Edward,GBR,11,9.09,87.55,Antwerp
1924,1,Harold Abrahams,GBR,10.6,9.43,90.85,Paris
1924,2,Jackson Scholz,USA,10.7,9.35,90,Paris
1924,3,Arthur Porritt,NZ,10.8,9.26,89.17,Paris
1928,1,Percy Williams,CAN,10.8,9.26,89.17,Amsterdam
1928,2,Jack London,GBR,10.9,9.17,88.35,Amsterdam
1928,3,Georg Lammers,GER,10.9,9.17,88.35,Amsterdam
1932,1,Eddie Tolan,USA,10.3,9.71,93.5,Los Angeles
1932,2,Ralph Metcalfe,USA,10.3,9.71,93.5,Los Angeles
1932,3,Arthur Jonath,GER,10.4,9.62,92.6,Los Angeles
1936,1,Jesse Owens,USA,10.3,9.71,93.5,Berlin
1936,2,Ralph Metcalfe,USA,10.4,9.62,92.6,Berlin
1936,3,Tinus Osendarp,NED,10.5,9.52,91.71,Berlin
1948,1,Harrison Dillard,USA,10.3,9.71,93.5,London
1948,2,Barney Ewell,USA,10.4,9.62,92.6,London
1948,3,Lloyd LaBeach,PAN,10.6,9.43,90.85,London
1952,1,Lindy Remigino,USA,10.4,9.62,92.6,Helsinki
1952,2,Herb McKenley,JAM,10.4,9.62,92.6,Helsinki
1952,3,McDonald Bailey,GBR,10.4,9.62,92.6,Helsinki
1956,1,Bobby Morrow,USA,10.5,9.52,91.71,Melbourne
1956,2,Thane Baker,USA,10.5,9.52,91.71,Melbourne
1956,3,Hector Hogan,AUS,10.6,9.43,90.85,Melbourne
1960,1,Armin Hary,GER,10.2,9.8,94.41,Rome
1960,2,Dave Sime,USA,10.2,9.8,94.41,Rome
1960,3,Peter Radford,GBR,10.3,9.71,93.5,Rome
1964,1,Bob Hayes,USA,10,10,96.3,Tokyo
1964,2,Enrique Figuerola,CUB,10.2,9.8,94.41,Tokyo
1964,3,Harry Jerome,CAN,10.2,9.8,94.41,Tokyo
1968,1,Jim Hines,USA,9.95,10.05,96.78,Mexico City
1968,2,Lennox Miller,JAM,10.04,9.96,95.92,Mexico City
1968,3,Charles Greene,USA,10.07,9.93,95.63,Mexico City
1972,1,Valery Borzov,URS,10.14,9.86,94.97,Munich
1972,2,Robert Taylor,USA,10.24,9.77,94.04,Munich
1972,3,Lennox Miller,JAM,10.33,9.68,93.22,Munich
1976,1,Hasely Crawford,TRI,10.06,9.94,95.73,Montreal
1976,2,Don Quarrie,JAM,10.08,9.92,95.54,Montreal
1976,3,Valeriy Borzov,URS,10.14,9.86,94.97,Montreal
1980,1,Allan Wells,GBR,10.25,9.76,93.95,Moscow
1980,2,Silvio Leonard,CUB,10.25,9.76,93.95,Moscow
1980,3,Petar Petrov,BUL,10.39,9.62,92.69,Moscow
1984,1,Carl Lewis,USA,9.99,10.01,96.4,Los Angeles
1984,2,Sam Graddy,USA,10.19,9.81,94.5,Los Angeles
1984,3,Ben Johnson,CAN,10.22,9.78,94.23,Los Angeles
1988,1,Carl Lewis,USA,9.92,10.08,97.08,Seoul
1988,2,Linford Christie,GBR,9.97,10.03,96.59,Seoul
1988,3,Calvin Smith,USA,9.99,10.01,96.4,Seoul
1992,1,Linford Christie,GBR,9.96,10.04,96.69,Barcelona
1992,2,Frankie Fredericks,NAM,10.02,9.98,96.11,Barcelona
1992,3,Dennis Mitchell,USA,10.04,9.96,95.92,Barcelona
1996,1,Donovan Bailey,CAN,9.84,10.16,97.87,Atlanta
1996,2,Frankie Fredericks,NAM,9.89,10.11,97.37,Atlanta
1996,3,Ato Boldon,TRI,9.9,10.1,97.27,Atlanta
2000,1,Maurice Greene,USA,9.87,10.13,97.57,Sydney
2000,2,Ato Boldon,TRI,9.99,10.01,96.4,Sydney
2000,3,Obadele Thompson,BAR,10.04,9.96,95.92,Sydney
2004,1,Justin Gatlin,USA,9.85,10.15,97.77,Athens
2004,2,Francis Obikwelu,POR,9.86,10.14,97.67,Athens
2004,3,Maurice Greene,USA,9.87,10.13,97.57,Athens
2008,1,Usain Bolt,JAM,9.69,10.32,99.38,Beijing
2008,2,Richard Thompson,TRI,9.89,10.11,97.37,Beijing
2008,3,Walter Dix,USA,9.91,10.09,97.17,Beijing
2012,1,Usain Bolt,JAM,9.63,10.38,100,London
2012,2,Yohan Blake,JAM,9.75,10.26,98.77,London
2012,3,Justin Gatlin,USA,9.79,10.21,98.37,London
