year,place,name,country,time,speed,distance,city
1928,1,Elizabeth Robinson,USA,12.2,8.2,86.39,Amsterdam
1928,2,Fanny Rosenfeld,CAN,12.3,8.13,85.69,Amsterdam
1928,3,Ethel Smith,CAN,12.3,8.13,85.69,Amsterdam
1932,1,Stanis_awa Walasiewicz,POL,11.9,8.4,88.57,Los Angeles
1932,2,Hilda Strike,CAN,11.9,8.4,88.57,Los Angeles
1932,3,Wilhelmina von Bremen,USA,12,8.33,87.83,Los Angeles
1936,1,Helen Stephens,USA,11.5,8.7,91.65,Berlin
1936,2,Stanis_awa Walasiewicz,USA,11.7,8.55,90.09,Berlin
1936,3,K_the Krauss,GER,11.9,8.4,88.57,Berlin
1948,1,Fanny Blankers-Koen,NED,11.9,8.4,88.57,London
1948,2,Dorothy Manley,GBR,12.2,8.2,86.39,London
1948,3,Shirley Strickland,AUS,12.2,8.2,86.39,London
1952,1,Marjorie Jackson,AUS,11.5,8.7,91.65,Helsinki
1952,2,Daphne Hasenjager,RSA,11.8,8.47,89.32,Helsinki
1952,3,Shirley Strickland de la Hunty,AUS,11.9,8.4,88.57,Helsinki
1956,1,Betty Cuthbert,AUS,11.5,8.7,91.65,Melbourne
1956,2,Christa Stubnick,GER,11.7,8.55,90.09,Melbourne
1956,3,Marlene Matthews,AUS,11.7,8.55,90.09,Melbourne
1960,1,Wilma Rudolph,USA,11,9.09,95.82,Rome
1960,2,Dorothy Hyman,GBR,11.3,8.85,93.27,Rome
1960,3,Giuseppina Leone,ITA,11.3,8.85,93.27,Rome
1964,1,Wyomia Tyus,USA,11.4,8.77,92.46,Tokyo
1964,2,Edith McGuire,USA,11.6,8.62,90.86,Tokyo
1964,3,Ewa K_obukowska,POL,11.6,8.62,90.86,Tokyo
1968,1,Wyomia Tyus,USA,11,9.09,95.82,Mexico City
1968,2,Barbara Ferrell,USA,11.1,9.01,94.95,Mexico City
1968,3,Irena Szewi_ska,POL,11.1,9.01,94.95,Mexico City
1972,1,Renate Stecher,GDR,11.07,9.03,95.21,Munich
1972,2,Raelene Boyle,AUS,11.23,8.9,93.86,Munich
1972,3,Silvia Chibàs,CUB,11.24,8.9,93.77,Munich
1976,1,Annegret Richter,FRG,11.08,9.03,95.13,Montreal
1976,2,Renate Stecher,GDR,11.13,8.98,94.7,Montreal
1976,3,Inge Helten,FRG,11.17,8.95,94.36,Montreal
1980,1,Lyudmila Kondratyeva,URS,11.06,9.04,95.3,Moscow
1980,2,Marlies G_hr,GDR,11.07,9.03,95.21,Moscow
1980,3,Ingrid Auerswald,GDR,11.14,8.98,94.61,Moscow
1984,1,Evelyn Ashford,USA,10.97,9.12,96.08,Los Angeles
1984,2,Alice Brown,USA,11.13,8.98,94.7,Los Angeles
1984,3,Merlene Ottey,JAM,11.16,8.96,94.44,Los Angeles
1988,1,Florence Griffith Joyner,USA,10.54,9.49,100,Seoul
1988,2,Evelyn Ashford,USA,10.83,9.23,97.32,Seoul
1988,3,Heike Drechsler,GDR,10.85,9.22,97.14,Seoul
1992,1,Gail Devers,USA,10.82,9.24,97.41,Barcelona
1992,2,Juliet Cuthbert,JAM,10.83,9.23,97.32,Barcelona
1992,3,Irina Privalova,EUN,10.84,9.23,97.23,Barcelona
1996,1,Gail Devers,USA,10.94,9.14,96.34,Atlanta
1996,2,Merlene Ottey,JAM,10.94,9.14,96.34,Atlanta
1996,3,Gwen Torrence,USA,10.96,9.12,96.17,Atlanta
2000,2,Ekaterini Thanou,GRE,11.12,8.99,94.78,Sydney
2000,2,Tanya Lawrence,JAM,11.18,8.94,94.28,Sydney
2000,3,Merlene Ottey,JAM,11.19,8.94,94.19,Sydney
2004,1,Yulia Nesterenko,BLR,10.93,9.15,96.43,Athens
2004,2,Lauryn Williams,USA,10.96,9.12,96.17,Athens
2004,3,Veronica Campbell,JAM,10.97,9.12,96.08,Athens
2008,1,Shelly-Ann Fraser,JAM,10.78,9.28,97.77,Beijing
2008,2,Sherone Simpson,JAM,10.98,9.11,95.99,Beijing
2008,2,Kerron Stewart,JAM,10.98,9.11,95.99,Beijing
2012,1,Shelly-Ann Fraser,JAM,10.75,9.3,98.05,London
2012,2,Carmelita Jeter,USA,10.78,9.28,97.77,London
2012,3,Veronica Campbell-Brown,JAM,10.81,9.25,97.5,London
