Disease category,Disease,Treatment effect,Lower confidence intervals,Upper confidence intervals,Risk of dying from it,Lower confidence intervals,Upper confidence intervals,Risk of having it,Lower confidence intervals,Upper confidence intervals,Risk of getting it,Lower confidence intervals,Upper confidence intervals,Contrast,Likelihood measure,% Risk increased by with lack of physical activity,Risk in control group,Odds ratio to relative risk conversion,Female,Male,Lifetime risk,Population,Reference for physical activity risk,Reference for lifetime risk
Neural,Alzheimer's,,,,,,,,,,0.55,0.36,0.84,highest vs lowest,Relative risk,82%,,,17,9,13,,Hamer,https://www.alz.org/facts/downloads/facts_figures_2015.pdf
Neural,Parkinson's,,,,,,,,,,0.82,0.57,1.18,highest vs lowest,Relative risk,22%,,,1.3,2,1.65,,Hamer,http://www.ncbi.nlm.nih.gov/pubmed/11781119
Psychological,Low happiness,,,,,,,0.66,,,,,,N/A,Odds ratio,52%,,N/A,,,,,Richards,
Psychological,Depression,,,,,,,0.40,,,,,,³3 vs 0 h/wk,Relative risk,150%,,,,,14.28571429,,Harvey,http://www.blackdoginstitute.org.au/docs/Factsandfiguresaboutmentalhealthandmooddisorders.pdf
Psychological,Low optimism,,,,,,,,,,0.30,0.15,0.26,high vs none,Odds ratio,233%,,,,,,young F Model 2,Pavey,
Psychological,Low optimism,,,,,,,,,,0.34,0.41,0.26,high vs none,Odds ratio,192%,,N/A,,,,mid-age F Model 2,Pavey,
Psychological,Anxiety,0.65,,,,,,0.71,0.55,0.93,,,,,Odds ratio,38%,0.069992821,0.72,,,,,Da Silva,
Psychological,Cognitive function,,,,,,,0.56,0.48,0.72,,,,high vs low,Odds ratio,79%,,N/A,,,,middle aged workers,Singh-Manoux,
Psychological,Suicide attempts,,,,,,,0.65,0.45,0.95,,,,6-7x/wk vs 1-2 x/wk,Relative risk,54%,,,,,,Adolescent males,Taliaferro,
Cardiovascular,CVD,,,,0.62,0.44,0.86,,,,,,,regular vs none,Odds ratio,57%,0.078,0.64,55.60,60.30,57.95,,Richardson,http://jama.jamanetwork.com/article.aspx?articleid=1389613
Cardiovascular,Peripheral Artery Disease,,,,,,,0.64,0.63,0.65,,,,any vs none,Odds ratio,53%,0.0533,0.65,,,unable to find lifetime risk,,Stein,
Cardiovascular,Carotid artery stenosis,,,,,,,0.80,0.79,0.81,,,,any vs none,Odds ratio,24%,0.0378,0.81,,,unable to find lifetime risk,,Stein,
Cardiovascular,Hypertension,,,,,,,,,,0.81,,,high vs low,Relative risk,23%,,,,,85.00,,Huai,http://www.ncbi.nlm.nih.gov/books/NBK9636/
Cardiovascular,Stroke,,,,,,,,,,0.73,0.67,0.79,high vs low,Relative risk,37%,,,20.5,15.5,18,,Lee,http://stroke.ahajournals.org/content/37/2/345.long
Cardiovascular,CV event,,,,,,,,,,0.55,,,walking Q5 v Q1,Relative risk,82%,,,42.40,24.9,33.65,,Janssen,http://www.ncbi.nlm.nih.gov/pubmed/10023892
Bone,Osteoporosis (fracture),,,,,,,,,,0.64,0.45,0.89,Q4-5 vs Q1,Relative risk,56%,,,,,40,,Gregg,https://www.iofbonehealth.org/facts-statistics
Bone,Osteoarthritis,,,,,,,,,,1.30,1.10,1.60,per hour heavy exercise,Odds ratio,-21%,0.079,1.27,,,13.8,,McAlindon,knee osteoarthritis http://www.ncbi.nlm.nih.gov/pubmed/23203864
Other,Chronic kidney disease,,,,0.59,0.45,0.71,,,,,,,sufficiently active vs inactive,Hazard ratio,69%,,,,,21.7,,Beddhu,http://ndt.oxfordjournals.org/content/early/2016/06/28/ndt.gfw253.abstract
Other,Diabetes,,,,,,,,,,0.55,,,walking Q5 v Q1,Relative risk,82%,,,38.5,32.8,35.65,,Janssen,http://www.ncbi.nlm.nih.gov/pubmed/14532317
Other,Diabetes,,,,,,,,,,0.70,0.58,0.74,³2.5h/wk walk vs 0,Relative risk,43%,,,,,,,Jeon,
Other,Diabetes,,,,,,,,,,0.54,,,Q5 vs Q1,Relative risk,85%,,,,,,,Hu,
Other,Diabetes,,,,,,,0.65,0.59,0.71,,,,high vs low,Relative risk,,,,,,,,Aune,
Other,COPD,,,,0.53,,,,,,,,,sufficiently active vs inactive,N/A,89%,,,,,1.7,,Moy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2894402/
Cancer,Oesophageal,,,,,,,,,,0.58,0.37,0.89,90 vs 10%ile,Hazard ratio,72%,,,0.8,1.8,1.3,,Moore,Conversation
Cancer,Liver,,,,,,,,,,0.73,0.55,0.98,90 vs 10%ile,Hazard ratio,37%,,,0.4,1,0.7,,Moore,Conversation
Cancer,Lung,,,,,,,,,,0.74,0.71,0.77,90 vs 10%ile,Hazard ratio,35%,,,4.5,7.6,6.05,,Moore,Conversation
Cancer,Kidney,,,,,,,,,,0.77,0.70,0.85,90 vs 10%ile,Hazard ratio,30%,,,1,2,1.5,,Moore,Conversation
Cancer,Gastric,,,,,,,,,,0.78,0.64,0.95,90 vs 10%ile,Hazard ratio,28%,,,0.7,1.6,1.15,,Moore,Conversation
Cancer,Endometrial,,,,,,,,,,0.79,0.68,0.92,90 vs 10%ile,Hazard ratio,27%,,,2,,2,,Moore,Conversation
Cancer,Leukaemia,,,,,,,,,,0.80,0.70,0.92,90 vs 10%ile,Hazard ratio,25%,,,1.3,2,1.65,,Moore,Conversation
