Fullname,Response,Confidence,Comment
Paul Frijters,Strongly agree,8,"This should indeed happen for two separate reasons. One is that a more independent body will have less pressure to gild the lily and hence whilst they too wont be able to accurately forecast the macro-economy (no-one can do that), at least they wont be too optimistic on average. The second reason is that the Parliamentary Budget Office should have something difficult and recurrent to do which increases their expertise, so that they can be asked to do more useful thing in the future, such as to assess the budgetary claims of political parties making election promises, and when assessing major proposals before parliament. The proposal hits both those goals."
Max Corden,Strongly agree,9,I agree with the proposal to follow the UK example
Brian Dollery,Strongly agree,9,The accuracy of assumptions underpinning budget estimates have consistently been too optimistic. This may be because it serves to suggest that the federal government is addressing budget repair adequately. There is thus a strong case for an independent body to prepare forecasting assumptions.
Alison Booth,Strongly agree,6,
Rana Roy,Strongly agree,9,"An independent Budget Office should help to restore the credibility of our economic forecasts and public confidence therein. Hopefully, it would also help to make the forecasts more accurate. For this last to obtain, we need an informed debate on some of the fundamental assumptions used in these forecasts. To take just one example, the continued use of the assumption that nominal and real GDP growth will always revert to “the average” just around the corner and continue at that average thereafter is an assumption that needs serious scrutiny; whilst any attempt at a fresh forecast each year will carry the risk of error, the use of this default assumption more or less guarantees error."
Janine Dixon,Strongly agree,9,
Beth Webster,Agree,9,"Generally, the average of multiple independent forecasts are more accurate than one forecast - but in the case of the budget, this can be empirically verified. To do this, Treasury would need to commission several independent expert assessors (including university experts). The Treasury would have to make detailed budget data available to independent experts. This would also bring transparency and confidence to the public discussion about budgets and spending."
Jeffrey Sheen,Agree,7,"Treasury is more than competent at analysis and forecasts of the Australian economy, but many have the perception that Treasury is affected by ministerial interference. Setting up something like a Parliamentary Budget Office would be good if it was obviously free from any political constraints."
Allan Fels,Agree,8,
Tony Makin,Agree,8,"There is a case for transferring ultimate responsibility for the Budget forecasts from Treasury to the Parliamentary Budget Office to avoid any suggestion of political interference. 
Post GFC, Treasury consistently over-predicted GDP growth reflecting its failure to appreciate how fiscal policy works in open economies like Australia. Treasury failed to predict the negative impact of excessive fiscal stimulus and large budget deficits on the real exchange rate and competitiveness, which subsequently contributed to significant job losses in the tradable sector, especially manufacturing. It also neglected the impact of fast-rising public debt on household and business confidence, which subsequently contributed to higher saving and lower private investment.
That said, Treasury gathers valuable macroeconomic intelligence and should continue to provide key input to official Budget forecasts via the Joint Economic Forecasting Group (with the Parliamentary Budget Office as the new chair), along with the Reserve Bank of Australia, the Department of the Prime Minister and Cabinet, the Department of Finance and Administration, and the Australian Bureau of Statistics."
Hugh Sibly,Agree,6,"Political debates around the validity of particular economic forecasts are, for the most part, unproductive. This debate is fuelled by claims that Treasury forecasts are distorted by the political requirements of the government. The proposed move should help de-politicise the development and discussion of economic forecasts. Hopefully, then, public debate could be more usefully directed at the trade-offs the government (and thus the country) faces when framing budgets, in particular raising revenue and directing spending."
David Butler,Agree,7,I suspect uncertainty in such forecasts is a fact of reality. But if there is any evidence an outside agency could do a better job then I wouldn't have a problem with it.
Garry Barrett,Agree,8,"Having an agency at arms length from government should reduce the risk of political interference in the Budget forecasting process. This, in turn, has the potential to improve the credibility and accuracy of key forecasts."
Lisa Cameron,Uncertain,6,"Treasury has a host of good economic minds. I would not be confident that an independent agency could do a better job, although countering this an independent agency may be under less political pressure."
Doug McTaggart,Uncertain,10,"Depends on the motivation. If it is to get better quality -- i.e. more accurate forecasts -- it is doubtful that the private sector will consistently do better. If it is to remove hints of political interference, then perhaps it will be worth it."
Saul Eslake,Disagree,6,"With no disrespect to the PBO, there's no reason to think they'd do a better job than Treasury has done of forecasting the major economic parameters required for framing the annual Federal Budget"
Bruce Chapman,Disagree,7,"The issue here concerns the capacity of the officials to make accurate forecasts. I don't think there is any reason to believe that a different body would do a better job than Treasury. If there is an inference that Treasury is not ""independent"" this suggests that the institution is prepared to make mistakes for political purposes even though this would tarnish the reputation of the institution, which I find somewhat implausible."
Lin Crase,Disagree,7,"The supposition that 'outsourcing' forecasts will lead to better outcomes misses the point. The challenges with public finance relate more to the lack of political will to tackle some of the underlying problems, than any notion that one set of forecasts is superior to another."
James Morley,Disagree,9,"It is better if Treasury develops an internal capacity for credible forecasts. This will help guide better policymaking if there is a consistency between what economists sometimes call ""conditional"" and ""unconditional"" forecasts (e.g., Diebold ,1998 -- https://www.aeaweb.org/articles?id=10.1257/jep.12.2.175). Large discrepancies between the two would provide a check on biased/political influences distorting conditional forecasts of the effects of policy."
